"terms","56","57","58","59","60","61","62","63","64","65","66","67","68","69"
"群集",482,659,546,363,522,574,430,500,615,524,577,685,533,586
"影響",244,255,284,128,246,279,195,242,317,271,241,231,265,328
"構造",177,200,156,90,106,136,101,138,117,130,110,161,112,108
"環境",166,236,201,116,181,176,136,186,230,200,214,257,229,227
"植物",160,145,165,128,136,126,168,189,294,220,286,208,201,297
"種",157,226,222,141,221,241,151,216,246,231,246,234,180,208
"変化",139,186,186,112,194,154,154,169,193,155,164,216,191,178
"個体",133,161,237,82,184,178,205,187,225,175,191,206,153,183
"生態系",130,199,121,83,138,104,118,115,136,124,187,137,131,123
"機能",106,116,76,77,77,95,91,131,104,106,153,99,70,121
"森林",103,75,66,54,88,71,44,77,121,104,79,122,114,96
"関係",101,116,124,58,77,112,78,91,95,122,77,108,91,98
"水田",100,97,59,63,0,53,32,0,55,64,0,0,36,74
"相互作用",97,80,68,61,68,40,52,82,82,54,65,100,85,79
"群落",91,0,42,59,0,0,0,0,46,0,0,41,0,0
"生息",89,122,85,39,71,111,58,54,91,58,67,69,56,69
"捕食",86,55,67,23,42,0,45,36,0,0,40,0,0,0
"動態",81,76,87,24,76,71,66,72,57,57,68,94,41,71
"分布",78,141,103,68,75,114,72,78,85,119,73,108,72,102
"生態学",72,87,88,44,74,62,85,63,0,67,93,109,51,51
"土壌",69,62,113,0,61,76,64,130,136,122,106,99,80,106
"動物",64,89,85,62,54,75,60,65,66,86,0,0,57,73
"昆虫",63,45,0,21,52,76,71,0,94,92,83,54,85,81
"植生",63,80,60,69,80,68,0,66,83,67,126,93,74,87
"食",63,55,76,28,42,0,45,0,0,0,43,45,0,45
"多様性",63,96,68,65,87,76,60,86,133,119,113,91,79,112
"個体群",61,87,79,29,57,58,0,58,0,65,0,58,40,55
"存在",60,57,58,31,55,39,62,58,56,58,53,49,50,52
"分解",59,0,47,31,33,0,46,53,78,58,40,0,64,77
"菌",58,0,0,0,0,0,0,0,49,0,0,46,41,67
"撹乱",57,0,0,0,44,0,41,45,52,43,0,0,0,48
"密度",57,56,54,39,51,59,42,60,86,0,46,82,33,0
